0	0	100	A	AAZ
6.28	6	100	A	AAZ
12.56	13	100	A	AAZ
18.84	19	100	B	ABZ
25.11	25	100	B	ABZ
31.38	31	100	C	ACZ
37.63	38	100	C	ACZ
43.87	44	100	C	ACZ
50.1	50	100	D	ADZ
56.32	56	100	D	ADZ
62.51	63	100	E	AEZ
68.69	69	100	E	AEZ
74.85	75	100	F	AFZ
80.98	81	100	F	AFZ
87.09	87	100	F	AFZ
93.17	93	100	G	AGZ
99.23	99	100	G	AGZ
105.25	105	100	H	AHZ
111.25	111	100	H	AHZ
117.2	117	100	H	AHZ
123.13	123	100	I	AIZ
129.01	129	100	I	AIZ
134.86	135	100	J	AJZ
140.66	141	100	J	AJZ
146.43	146	100	J	AJZ
152.14	152	100	K	AKZ
157.81	158	100	K	AKZ
163.44	163	100	K	AKZ
169.01	169	100	L	ALZ
174.53	175	100	L	ALZ
180	180	100	M	AMZ
185.41	185	100	M	AMZ
190.77	191	100	M	AMZ
196.07	196	100	N	ANZ
201.31	201	100	N	ANZ
206.49	206	100	N	ANZ
211.6	212	100	O	AOZ
216.65	217	100	O	AOZ
221.64	222	100	O	AOZ
226.56	227	100	P	APZ
231.4	231	100	P	APZ
236.18	236	100	P	APZ
240.89	241	100	Q	AQZ
245.52	246	100	Q	AQZ
250.08	250	100	Q	AQZ
254.56	255	100	R	ARZ
258.96	259	100	R	ARZ
263.29	263	100	R	ARZ
267.53	268	100	R	ARZ
271.7	272	100	S	ASZ
275.78	276	100	S	ASZ
279.77	280	100	S	ASZ
283.68	284	100	S	ASZ
287.51	288	100	T	ATZ
291.25	291	100	T	ATZ
294.89	295	100	T	ATZ
298.45	298	100	T	ATZ
301.92	302	100	U	AUZ
305.3	305	100	U	AUZ
308.58	309	100	U	AUZ
311.77	312	100	U	AUZ
314.86	315	100	V	AVZ
317.86	318	100	V	AVZ
320.76	321	100	V	AVZ
323.57	324	100	V	AVZ
326.27	326	100	V	AVZ
328.88	329	100	V	AVZ
331.38	331	100	W	AWZ
333.79	334	100	W	AWZ
336.09	336	100	W	AWZ
338.29	338	100	W	AWZ
340.39	340	100	W	AWZ
342.38	342	100	W	AWZ
344.27	344	100	W	AWZ
346.05	346	100	X	AXZ
347.73	348	100	X	AXZ
349.31	349	100	X	AXZ
350.77	351	100	X	AXZ
352.13	352	100	X	AXZ
353.39	353	100	X	AXZ
354.53	355	100	X	AXZ
355.57	356	100	X	AXZ
356.5	356	100	X	AXZ
357.32	357	100	X	AXZ
358.03	358	100	X	AXZ
358.63	359	100	X	AXZ
359.12	359	100	X	AXZ
359.51	360	100	Y	AYZ
359.78	360	100	Y	AYZ
359.95	360	100	Y	AYZ
360	360	100	Y	AYZ
359.95	360	100	Y	AYZ
359.78	360	100	Y	AYZ
359.51	360	100	Y	AYZ
359.12	359	100	X	AXZ
358.63	359	100	X	AXZ
358.03	358	100	X	AXZ
357.32	357	100	X	AXZ
356.5	356	100	X	AXZ
355.57	356	100	X	AXZ
354.53	355	100	X	AXZ
353.39	353	100	X	AXZ
352.13	352	100	X	AXZ
350.77	351	100	X	AXZ
349.31	349	100	X	AXZ
347.73	348	100	X	AXZ
346.05	346	100	X	AXZ
344.27	344	100	W	AWZ
342.38	342	100	W	AWZ
340.39	340	100	W	AWZ
338.29	338	100	W	AWZ
336.09	336	100	W	AWZ
333.79	334	100	W	AWZ
331.38	331	100	W	AWZ
328.88	329	100	V	AVZ
326.27	326	100	V	AVZ
323.57	324	100	V	AVZ
320.76	321	100	V	AVZ
317.86	318	100	V	AVZ
314.86	315	100	V	AVZ
311.77	312	100	U	AUZ
308.58	309	100	U	AUZ
305.3	305	100	U	AUZ
301.92	302	100	U	AUZ
298.45	298	100	T	ATZ
294.89	295	100	T	ATZ
291.25	291	100	T	ATZ
287.51	288	100	T	ATZ
283.68	284	100	S	ASZ
279.77	280	100	S	ASZ
275.78	276	100	S	ASZ
271.7	272	100	S	ASZ
267.53	268	100	R	ARZ
263.29	263	100	R	ARZ
258.96	259	100	R	ARZ
254.56	255	100	R	ARZ
250.08	250	100	Q	AQZ
245.52	246	100	Q	AQZ
240.89	241	100	Q	AQZ
236.18	236	100	P	APZ
231.4	231	100	P	APZ
226.56	227	100	P	APZ
221.64	222	100	O	AOZ
216.65	217	100	O	AOZ
211.6	212	100	O	AOZ
206.49	206	100	N	ANZ
201.31	201	100	N	ANZ
196.07	196	100	N	ANZ
190.77	191	100	M	AMZ
185.41	185	100	M	AMZ
180	180	100	M	AMZ
174.53	175	100	L	ALZ
169.01	169	100	L	ALZ
163.44	163	100	K	AKZ
157.81	158	100	K	AKZ
152.14	152	100	K	AKZ
146.43	146	100	J	AJZ
140.66	141	100	J	AJZ
134.86	135	100	J	AJZ
129.01	129	100	I	AIZ
123.13	123	100	I	AIZ
117.2	117	100	H	AHZ
111.25	111	100	H	AHZ
105.25	105	100	H	AHZ
99.23	99	100	G	AGZ
93.17	93	100	G	AGZ
87.09	87	100	F	AFZ
80.98	81	100	F	AFZ
74.85	75	100	F	AFZ
68.69	69	100	E	AEZ
62.51	63	100	E	AEZ
56.32	56	100	D	ADZ
50.1	50	100	D	ADZ
43.87	44	100	C	ACZ
37.63	38	100	C	ACZ
31.38	31	100	C	ACZ
25.11	25	100	B	ABZ
18.84	19	100	B	ABZ
12.56	13	100	A	AAZ
6.28	6	100	A	AAZ
0	0	100	A	AAZ
-6.28	-6	-100	A	AAZ
-12.56	-13	-100	A	AAZ
-18.84	-19	-100	B	ABZ
-25.11	-25	-100	B	ABZ
-31.38	-31	-100	C	ACZ
-37.63	-38	-100	C	ACZ
-43.87	-44	-100	C	ACZ
-50.1	-50	-100	D	ADZ
-56.32	-56	-100	D	ADZ
-62.51	-63	-100	E	AEZ
-68.69	-69	-100	E	AEZ
-74.85	-75	-100	F	AFZ
-80.98	-81	-100	F	AFZ
-87.09	-87	-100	F	AFZ
-93.17	-93	-100	G	AGZ
-99.23	-99	-100	G	AGZ
-105.25	-105	-100	H	AHZ
-111.25	-111	-100	H	AHZ
-117.2	-117	-100	H	AHZ
-123.13	-123	-100	I	AIZ
-129.01	-129	-100	I	AIZ
-134.86	-135	-100	J	AJZ
-140.66	-141	-100	J	AJZ
-146.43	-146	-100	J	AJZ
-152.14	-152	-100	K	AKZ
-157.81	-158	-100	K	AKZ
-163.44	-163	-100	K	AKZ
-169.01	-169	-100	L	ALZ
-174.53	-175	-100	L	ALZ
-180	-180	-100	M	AMZ
-185.41	-185	-100	M	AMZ
-190.77	-191	-100	M	AMZ
-196.07	-196	-100	N	ANZ
-201.31	-201	-100	N	ANZ
-206.49	-206	-100	N	ANZ
-211.6	-212	-100	O	AOZ
-216.65	-217	-100	O	AOZ
-221.64	-222	-100	O	AOZ
-226.56	-227	-100	P	APZ
-231.4	-231	-100	P	APZ
-236.18	-236	-100	P	APZ
-240.89	-241	-100	Q	AQZ
-245.52	-246	-100	Q	AQZ
-250.08	-250	-100	Q	AQZ
-254.56	-255	-100	R	ARZ
-258.96	-259	-100	R	ARZ
-263.29	-263	-100	R	ARZ
-267.53	-268	-100	R	ARZ
-271.7	-272	-100	S	ASZ
-275.78	-276	-100	S	ASZ
-279.77	-280	-100	S	ASZ
-283.68	-284	-100	S	ASZ
-287.51	-288	-100	T	ATZ
-291.25	-291	-100	T	ATZ
-294.89	-295	-100	T	ATZ
-298.45	-298	-100	T	ATZ
-301.92	-302	-100	U	AUZ
-305.3	-305	-100	U	AUZ
-308.58	-309	-100	U	AUZ
-311.77	-312	-100	U	AUZ
-314.86	-315	-100	V	AVZ
-317.86	-318	-100	V	AVZ
-320.76	-321	-100	V	AVZ
-323.57	-324	-100	V	AVZ
-326.27	-326	-100	V	AVZ
-328.88	-329	-100	V	AVZ
-331.38	-331	-100	W	AWZ
-333.79	-334	-100	W	AWZ
-336.09	-336	-100	W	AWZ
