2020-01-01T00:00:00	0	0	100	A	AAZ
2020-01-01T00:00:01	6.28	6	100	A	AAZ
2020-01-01T00:00:02	12.56	13	100	A	AAZ
2020-01-01T00:00:03	18.84	19	100	B	ABZ
2020-01-01T00:00:04	25.11	25	100	B	ABZ
2020-01-01T00:00:05	31.38	31	100	C	ACZ
2020-01-01T00:00:06	37.63	38	100	C	ACZ
2020-01-01T00:00:07	43.87	44	100	C	ACZ
2020-01-01T00:00:08	50.1	50	100	D	ADZ
2020-01-01T00:00:09	56.32	56	100	D	ADZ
2020-01-01T00:00:10	62.51	63	100	E	AEZ
2020-01-01T00:00:11	68.69	69	100	E	AEZ
2020-01-01T00:00:12	74.85	75	100	F	AFZ
2020-01-01T00:00:13	80.98	81	100	F	AFZ
2020-01-01T00:00:14	87.09	87	100	F	AFZ
2020-01-01T00:00:15	93.17	93	100	G	AGZ
2020-01-01T00:00:16	99.23	99	100	G	AGZ
2020-01-01T00:00:17	105.25	105	100	H	AHZ
2020-01-01T00:00:18	111.25	111	100	H	AHZ
2020-01-01T00:00:19	117.2	117	100	H	AHZ
2020-01-01T00:00:20	123.13	123	100	I	AIZ
2020-01-01T00:00:21	129.01	129	100	I	AIZ
2020-01-01T00:00:22	134.86	135	100	J	AJZ
2020-01-01T00:00:23	140.66	141	100	J	AJZ
2020-01-01T00:00:24	146.43	146	100	J	AJZ
2020-01-01T00:00:25	152.14	152	100	K	AKZ
2020-01-01T00:00:26	157.81	158	100	K	AKZ
2020-01-01T00:00:27	163.44	163	100	K	AKZ
2020-01-01T00:00:28	169.01	169	100	L	ALZ
2020-01-01T00:00:29	174.53	175	100	L	ALZ
2020-01-01T00:00:30	180	180	100	M	AMZ
2020-01-01T00:00:31	185.41	185	100	M	AMZ
2020-01-01T00:00:32	190.77	191	100	M	AMZ
2020-01-01T00:00:33	196.07	196	100	N	ANZ
2020-01-01T00:00:34	201.31	201	100	N	ANZ
2020-01-01T00:00:35	206.49	206	100	N	ANZ
2020-01-01T00:00:36	211.6	212	100	O	AOZ
2020-01-01T00:00:37	216.65	217	100	O	AOZ
2020-01-01T00:00:38	221.64	222	100	O	AOZ
2020-01-01T00:00:39	226.56	227	100	P	APZ
2020-01-01T00:00:40	231.4	231	100	P	APZ
2020-01-01T00:00:41	236.18	236	100	P	APZ
2020-01-01T00:00:42	240.89	241	100	Q	AQZ
2020-01-01T00:00:43	245.52	246	100	Q	AQZ
2020-01-01T00:00:44	250.08	250	100	Q	AQZ
2020-01-01T00:00:45	254.56	255	100	R	ARZ
